celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_J_pct,week2_J_pct,week3_J_pct,week4_J_pct,week5_J_pct,week6_J_pct,week7_J_pct,week8_J_pct,week9_J_pct,week10_J_pct,week11_J_pct,elimination_week,contestant_id
John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,66.66666666666666,86.66666666666667,80.0,70.0,90.0,90.0,,,,,,finalist,John O'Hurley_S1
Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,43.333333333333336,56.666666666666664,70.0,86.66666666666667,78.33333333333333,91.66666666666666,,,,,,finalist,Kelly Monaco_S1
Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,60.0,46.666666666666664,43.333333333333336,,,,,,,,,3,Evander Holyfield_S1
Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,66.66666666666666,80.0,86.66666666666667,83.33333333333334,,,,,,,,4,Rachel Hunter_S1
Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,66.66666666666666,70.0,73.33333333333333,66.66666666666666,75.0,,,,,,,finalist,Joey McIntyre_S1
Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,60.0,63.33333333333333,,,,,,,,,,2,Trista Sutter_S1
Tatum O'Neal,Nick Kosovich,Actor/Actress,California,United States,42,2,Eliminated Week 2,9,76.66666666666667,56.666666666666664,,,,,,,,,,2,Tatum O'Neal_S2
Tia Carrere,Maksim Chmerkoskiy,Actor/Actress,Hawaii,United States,39,2,Eliminated Week 5,6,66.66666666666666,73.33333333333333,86.66666666666667,83.33333333333334,73.33333333333333,,,,,,,5,Tia Carrere_S2
George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,60.0,73.33333333333333,73.33333333333333,70.0,80.0,76.66666666666667,,,,,,6,George Hamilton_S2
Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,63.33333333333333,66.66666666666666,83.33333333333334,86.66666666666667,83.33333333333334,90.0,88.33333333333333,,,,,7,Lisa Rinna_S2
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,73.33333333333333,96.66666666666667,90.0,86.66666666666667,100.0,100.0,91.66666666666666,95.555,,,,finalist,Stacy Keibler_S2
