contestant_id,celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,elimination_week,J_pct,week,industry_std,is_US,age_bin,rank_judge,rank_final
Evander Holyfield_S1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,3,60.0,1,Athlete,1,36-45,4.0,5
Joey McIntyre_S1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,finalist,66.66666666666666,1,Musician,1,26-35,1.0,3
John O'Hurley_S1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,finalist,66.66666666666666,1,Actor,1,46-55,1.0,2
Kelly Monaco_S1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,finalist,43.333333333333336,1,Actor,1,26-35,6.0,1
Rachel Hunter_S1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,4,66.66666666666666,1,Model,0,26-35,1.0,4
Trista Sutter_S1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,2,60.0,1,TV_Personality,1,26-35,4.0,6
Evander Holyfield_S1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,3,46.66666666666666,2,Athlete,1,36-45,6.0,5
Joey McIntyre_S1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,finalist,70.0,2,Musician,1,26-35,3.0,3
John O'Hurley_S1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,finalist,86.66666666666667,2,Actor,1,46-55,1.0,2
Kelly Monaco_S1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,finalist,56.66666666666666,2,Actor,1,26-35,5.0,1
Rachel Hunter_S1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,4,80.0,2,Model,0,26-35,2.0,4
Trista Sutter_S1,Trista Sutter,Louis van Amstel,TV Personality,Indiana,United States,32,1,Eliminated Week 2,6,2,63.33333333333333,2,TV_Personality,1,26-35,4.0,6
Evander Holyfield_S1,Evander Holyfield,Edyta Sliwinska,Athlete,Alabama,United States,42,1,Eliminated Week 3,5,3,43.333333333333336,3,Athlete,1,36-45,5.0,5
Joey McIntyre_S1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,finalist,73.33333333333333,3,Musician,1,26-35,3.0,3
John O'Hurley_S1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,finalist,80.0,3,Actor,1,46-55,2.0,2
Kelly Monaco_S1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,finalist,70.0,3,Actor,1,26-35,4.0,1
Rachel Hunter_S1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,4,86.66666666666667,3,Model,0,26-35,1.0,4
Joey McIntyre_S1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,finalist,66.66666666666666,4,Musician,1,26-35,4.0,3
John O'Hurley_S1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,finalist,70.0,4,Actor,1,46-55,3.0,2
Kelly Monaco_S1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,finalist,86.66666666666667,4,Actor,1,26-35,1.0,1
Rachel Hunter_S1,Rachel Hunter,Jonathan Roberts,Model,,New Zealand,35,1,Eliminated Week 4,4,4,83.33333333333334,4,Model,0,26-35,2.0,4
Joey McIntyre_S1,Joey McIntyre,Ashly DelGrosso,Singer/Rapper,Massachusetts,United States,32,1,3rd Place,3,finalist,75.0,5,Musician,1,26-35,3.0,3
John O'Hurley_S1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,finalist,90.0,5,Actor,1,46-55,1.0,2
Kelly Monaco_S1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,finalist,78.33333333333333,5,Actor,1,26-35,2.0,1
John O'Hurley_S1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,Maine,United States,50,1,2nd Place,2,finalist,90.0,6,Actor,1,46-55,2.0,2
Kelly Monaco_S1,Kelly Monaco,Alec Mazo,Actor/Actress,Pennsylvania,United States,29,1,1st Place,1,finalist,91.66666666666666,6,Actor,1,26-35,1.0,1
Drew Lachey_S2,Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,finalist,80.0,1,Musician,1,26-35,1.0,1
George Hamilton_S2,George Hamilton,Edyta Sliwinska,Actor/Actress,Tennessee,United States,66,2,Eliminated Week 6,5,6,60.0,1,Actor,1,55+,8.0,5
Giselle Fernandez_S2,Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,3,76.66666666666667,1,TV_Personality,0,36-45,2.0,8
Jerry Rice_S2,Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,finalist,70.0,1,Athlete,1,36-45,5.0,2
Kenny Mayne_S2,Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,1,43.333333333333336,1,TV_Personality,1,46-55,9.0,10
Lisa Rinna_S2,Lisa Rinna,Louis van Amstel,Actor/Actress,California,United States,42,2,Eliminated Week 7,4,7,63.33333333333333,1,Actor,1,36-45,7.0,4
Master P_S2,Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4,40.0,1,Musician,1,26-35,10.0,7
Stacy Keibler_S2,Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,finalist,73.33333333333333,1,Athlete,1,26-35,4.0,3
