season,week,cv_mean,cv_std,cv_max,ci_width_mean
1,1,0.7855,0.007,0.7923,0.5132
1,2,0.5441,0.065,0.6135,0.3488
1,3,0.574,0.0486,0.6524,0.4509
1,4,0.4142,0.1309,0.5593,0.3735
1,5,0.5154,0.0488,0.5712,0.6647
1,6,0.4529,0.0203,0.4673,0.8869
2,1,0.6274,0.0565,0.6926,0.2451
2,2,0.5921,0.0438,0.6361,0.2596
2,3,0.5601,0.0853,0.6644,0.2698
2,4,0.5688,0.0425,0.6105,0.3203
2,5,0.5656,0.0388,0.6154,0.3718
2,6,0.5129,0.0589,0.5675,0.3954
2,7,0.4835,0.0732,0.5842,0.472
2,8,0.4901,0.0425,0.5309,0.6376
3,1,0.6328,0.0585,0.7344,0.2265
3,2,0.6073,0.1051,0.7733,0.2321
3,3,0.5955,0.0808,0.715,0.2535
3,4,0.582,0.075,0.6786,0.2796
3,5,0.4393,0.1111,0.5946,0.2291
3,6,0.7528,0.0168,0.7758,0.5901
3,7,0.5246,0.0396,0.5844,0.4128
3,8,0.5005,0.0469,0.5686,0.4928
3,9,0.3935,0.0465,0.4463,0.4954
3,10,0.4063,0.017,0.4183,0.7956
4,1,0.8576,0.0167,0.8825,0.3056
4,2,0.6272,0.0989,0.7633,0.2204
4,3,0.6179,0.0701,0.7235,0.2407
4,4,0.6036,0.0574,0.6812,0.2625
4,5,0.5906,0.0334,0.6369,0.291
4,6,0.5755,0.1111,0.7306,0.3198
4,7,0.5342,0.0525,0.595,0.3479
4,8,0.5342,0.0707,0.6266,0.4132
4,9,0.5282,0.0937,0.6518,0.5213
4,10,0.5064,0.0165,0.5195,0.6612
5,1,0.6315,0.0487,0.7173,0.2073
5,2,0.5815,0.1052,0.6774,0.2022
5,3,0.6299,0.0447,0.7075,0.2469
5,4,0.6068,0.0609,0.7377,0.2661
5,5,0.6045,0.0547,0.6651,0.296
5,6,0.5539,0.1131,0.6713,0.3035
5,7,0.5556,0.0677,0.6457,0.3641
5,8,0.501,0.0964,0.5819,0.3779
5,9,0.4812,0.073,0.5852,0.4686
5,10,0.5231,0.0228,0.5495,0.683
6,1,0.861,0.0115,0.8884,0.2812
6,2,0.6036,0.0674,0.6709,0.1975
6,3,0.6085,0.0873,0.7256,0.2341
6,4,0.5903,0.0392,0.6426,0.2584
6,5,0.6039,0.0436,0.679,0.2965
6,6,0.5673,0.0455,0.6585,0.317
6,7,0.5302,0.0672,0.5957,0.3406
6,8,0.5224,0.0949,0.6221,0.4024
6,9,0.552,0.0958,0.6569,0.5291
6,10,0.5163,0.0591,0.5738,0.6732
7,1,0.5842,0.0655,0.6619,0.1759
7,2,0.6137,0.0495,0.6588,0.2188
7,3,0.8398,0.0169,0.8777,0.3658
7,4,0.6183,0.0505,0.6859,0.2706
7,5,0.57,0.0699,0.6585,0.275
7,6,0.5755,0.0435,0.6516,0.3242
7,7,0.5664,0.0856,0.6682,0.3673
7,8,0.5254,0.0369,0.5748,0.4102
7,9,0.5037,0.0166,0.5242,0.495
7,10,0.5321,0.0371,0.5603,0.6918
8,1,0.8744,0.0331,0.939,0.2636
8,2,0.6285,0.0979,0.7712,0.1869
8,3,0.6158,0.0485,0.6957,0.2009
8,4,0.5945,0.0584,0.6911,0.2112
8,5,0.5964,0.0787,0.6803,0.254
8,6,0.5994,0.0582,0.6484,0.2947
8,7,0.577,0.024,0.6106,0.324
8,8,0.5788,0.0816,0.7092,0.3782
8,9,0.5425,0.0644,0.6339,0.4321
8,10,0.5303,0.0794,0.6484,0.5136
8,11,0.508,0.0124,0.52,0.6633
9,1,0.6304,0.1482,0.9895,0.1496
9,2,0.6358,0.0469,0.7044,0.1792
