season,week,contestant_id,celebrity_name,placement,J_pct_final
1,2,Trista Sutter_S1,Trista Sutter,6,63.33333333333333
1,3,Evander Holyfield_S1,Evander Holyfield,5,43.333333333333336
1,4,Rachel Hunter_S1,Rachel Hunter,4,83.33333333333334
1,5,Joey McIntyre_S1,Joey McIntyre,3,75.0
1,6,Kelly Monaco_S1,Kelly Monaco,1,91.66666666666666
1,6,John O'Hurley_S1,John O'Hurley,2,90.0
2,1,Kenny Mayne_S2,Kenny Mayne,10,43.333333333333336
2,2,Tatum O'Neal_S2,Tatum O'Neal,9,56.666666666666664
2,3,Giselle Fernandez_S2,Giselle Fernandez,8,73.33333333333333
2,4,Master P_S2,Master P,7,26.666666666666668
2,5,Tia Carrere_S2,Tia Carrere,6,73.33333333333333
2,6,George Hamilton_S2,George Hamilton,5,76.66666666666667
2,7,Lisa Rinna_S2,Lisa Rinna,4,88.33333333333333
2,8,Drew Lachey_S2,Drew Lachey,1,96.666
2,8,Jerry Rice_S2,Jerry Rice,2,88.88866666666667
2,8,Stacy Keibler_S2,Stacy Keibler,3,95.555
3,1,Tucker Carlson_S3,Tucker Carlson,11,40.0
3,2,Shanna Moakler_S3,Shanna Moakler,10,73.33333333333333
3,3,Harry Hamlin_S3,Harry Hamlin,9,73.33333333333333
3,4,Vivica A. Fox_S3,Vivica A. Fox,8,80.0
3,5,Willa Ford_S3,Willa Ford,7,90.0
3,7,Jerry Springer_S3,Jerry Springer,5,76.66666666666667
3,8,Monique Coleman_S3,Monique Coleman,4,88.33333333333333
3,9,Joey Lawrence_S3,Joey Lawrence,3,98.33333333333333
3,10,Emmitt Smith_S3,Emmitt Smith,1,98.88866666666668
3,10,Mario Lopez_S3,Mario Lopez,2,98.88866666666668
4,2,Paulina Porizkova_S4,Paulina Porizkova,11,70.0
4,3,Shandi Finnessey_S4,Shandi Finnessey,10,70.0
4,4,Leeza Gibbons_S4,Leeza Gibbons,9,53.333333333333336
4,5,Clyde Drexler_S4,Clyde Drexler,8,43.333333333333336
4,6,Heather Mills_S4,Heather Mills,7,76.66666666666667
4,7,John Ratzenberger_S4,John Ratzenberger,6,75.0
4,8,Billy Ray Cyrus_S4,Billy Ray Cyrus,5,63.33333333333333
4,9,Ian Ziering_S4,Ian Ziering,4,96.66666666666667
