season,kendall_tau_rank,kendall_tau_pct,tau_diff,n_finalists,kendall_tau_rank_filled,kendall_tau_pct_filled
1,,,,2,0.6045980676572924,0.42348071299251766
2,1.0,1.0,0.0,3,1.0,1.0
3,,,,2,0.6045980676572924,0.42348071299251766
4,0.816496580927726,1.0,0.18350341907227397,3,0.816496580927726,1.0
5,0.33333333333333337,1.0,0.6666666666666666,3,0.33333333333333337,1.0
6,1.0,1.0,0.0,3,1.0,1.0
7,0.816496580927726,0.816496580927726,0.0,3,0.816496580927726,0.816496580927726
8,0.816496580927726,1.0,0.18350341907227397,3,0.816496580927726,1.0
9,1.0,1.0,0.0,3,1.0,1.0
10,0.816496580927726,0.33333333333333337,-0.48316324759439266,3,0.816496580927726,0.33333333333333337
11,0.816496580927726,1.0,0.18350341907227397,3,0.816496580927726,1.0
12,0.0,-0.816496580927726,-0.816496580927726,3,0.0,-0.816496580927726
13,0.33333333333333337,-0.33333333333333337,-0.6666666666666667,3,0.33333333333333337,-0.33333333333333337
14,0.816496580927726,0.816496580927726,0.0,3,0.816496580927726,0.816496580927726
15,1.0,1.0,0.0,3,1.0,1.0
16,0.912870929175277,0.5477225575051662,-0.3651483716701108,4,0.912870929175277,0.5477225575051662
17,,0.6666666666666669,,4,0.6045980676572924,0.6666666666666669
18,0.6666666666666669,0.6666666666666669,0.0,4,0.6666666666666669,0.6666666666666669
19,0.18257418583505539,0.0,-0.18257418583505539,4,0.18257418583505539,0.0
20,0.816496580927726,0.816496580927726,0.0,3,0.816496580927726,0.816496580927726
21,0.0,0.2357022603955159,0.2357022603955159,4,0.0,0.2357022603955159
22,0.816496580927726,0.33333333333333337,-0.48316324759439266,3,0.816496580927726,0.33333333333333337
23,0.18257418583505539,-0.3333333333333334,-0.5159075191683888,4,0.18257418583505539,-0.3333333333333334
24,,-1.0,,3,0.6045980676572924,-1.0
25,0.5477225575051662,0.5477225575051662,0.0,4,0.5477225575051662,0.5477225575051662
26,1.0,1.0,0.0,3,1.0,1.0
27,0.0,-0.5477225575051662,-0.5477225575051662,4,0.0,-0.5477225575051662
28,0.4082482904638631,0.0,-0.4082482904638631,4,0.4082482904638631,0.0
29,0.7071067811865477,0.7071067811865477,0.0,4,0.7071067811865477,0.7071067811865477
30,0.18257418583505539,-0.18257418583505539,-0.36514837167011077,4,0.18257418583505539,-0.18257418583505539
31,0.6708203932499369,0.4082482904638631,-0.26257210278607385,4,0.6708203932499369,0.4082482904638631
32,0.5892556509887895,0.44721359549995787,-0.14204205548883164,5,0.5892556509887895,0.44721359549995787
33,0.4444444444444444,0.5270462766947299,0.0826018322502855,5,0.4444444444444444,0.5270462766947299
34,0.4444444444444444,-0.10540925533894596,-0.5498536997833904,5,0.4444444444444444,-0.10540925533894596
