method,judge_weight,fan_weight,J_mean,J_std,F_mean,F_std
rank,0.3,0.7,0.083872590351423,0.6716414722474433,0.9781249999999999,0.05986638768958758
rank,0.325,0.675,0.083872590351423,0.6716414722474433,0.9781249999999999,0.05986638768958758
rank,0.35,0.65,0.2301228764291918,0.6472482834267895,0.909375,0.14654217609616693
rank,0.375,0.625,0.2301228764291918,0.6472482834267895,0.909375,0.14654217609616693
rank,0.4,0.6,0.2997335539867154,0.6298463895573575,0.87021128230479,0.17302101467126552
rank,0.42500000000000004,0.575,0.3038819142231577,0.6306806810021661,0.865625,0.17249886774990728
rank,0.45,0.55,0.32836756624553326,0.6226667243599259,0.8468749999999999,0.19523123309296594
rank,0.47500000000000003,0.5249999999999999,0.32836756624553326,0.6226667243599259,0.8468749999999999,0.19523123309296594
rank,0.5,0.5,0.717299250244979,0.2400030475103995,0.7497586323646201,0.20325423880548069
rank,0.525,0.475,0.823805235323677,0.23503821087025556,0.35937499999999994,0.6264280560247921
rank,0.55,0.44999999999999996,0.823805235323677,0.23503821087025556,0.35937499999999994,0.6264280560247921
rank,0.5750000000000001,0.42499999999999993,0.8853241557814184,0.14600092728769298,0.28437499999999993,0.6349750856332869
rank,0.6000000000000001,0.3999999999999999,0.8853241557814184,0.14600092728769298,0.28437499999999993,0.6349750856332869
rank,0.625,0.375,0.8853241557814184,0.14600092728769298,0.28437499999999993,0.6349750856332869
rank,0.6500000000000001,0.34999999999999987,0.8853241557814184,0.14600092728769298,0.28437499999999993,0.6349750856332869
rank,0.675,0.32499999999999996,0.9452062734694446,0.07382568775807614,0.16562499999999997,0.6876633328708169
rank,0.7000000000000001,0.29999999999999993,0.9452062734694446,0.07382568775807614,0.16562499999999997,0.6876633328708169
rank,0.7250000000000001,0.2749999999999999,0.9452062734694446,0.07382568775807614,0.16562499999999997,0.6876633328708169
rank,0.75,0.25,0.9546619000589224,0.06515870299421479,0.14391903922934202,0.690975420959042
rank,0.7750000000000001,0.22499999999999987,0.9562655469948438,0.06562167043479111,0.13437499999999997,0.6935458596048281
rank,0.8,0.19999999999999996,0.9562655469948438,0.06562167043479111,0.13437499999999997,0.6935458596048281
rank,0.8250000000000002,0.17499999999999982,0.9562655469948438,0.06562167043479111,0.13437499999999997,0.6935458596048281
rank,0.8500000000000001,0.1499999999999999,0.9562655469948438,0.06562167043479111,0.13437499999999997,0.6935458596048281
rank,0.875,0.125,0.9562655469948438,0.06562167043479111,0.13437499999999997,0.6935458596048281
rank,0.9,0.09999999999999998,0.9562655469948438,0.06562167043479111,0.13437499999999997,0.6935458596048281
pct,0.3,0.7,0.1971322559848712,0.6468309946490036,0.8843749999999999,0.18046705897476137
pct,0.325,0.675,0.22724511145344245,0.6514300586469868,0.871875,0.1789454787777551
pct,0.35,0.65,0.23974511145344243,0.6352351875663693,0.865625,0.17785066593915244
pct,0.375,0.625,0.27268550374686307,0.6328767391234351,0.8468749999999999,0.19362395093324586
pct,0.4,0.6,0.27893550374686304,0.6211564502012973,0.840625,0.1917996594757144
pct,0.42500000000000004,0.575,0.27893550374686304,0.6211564502012973,0.840625,0.1917996594757144
pct,0.45,0.55,0.291435503746863,0.6174185760349337,0.8218749999999999,0.2102593264875544
pct,0.47500000000000003,0.5249999999999999,0.322685503746863,0.6016763386978303,0.8062499999999999,0.21496729402399797
pct,0.5,0.5,0.35393550374686306,0.578463490692928,0.7749999999999999,0.29895651857753497
pct,0.525,0.475,0.38518550374686306,0.5581419878314732,0.7593749999999999,0.29985347984474015
pct,0.55,0.44999999999999996,0.4711557044428542,0.567772289167406,0.684375,0.3725833589614544
pct,0.5750000000000001,0.42499999999999993,0.5024057044428543,0.540316183654273,0.653125,0.4249885108741176
pct,0.6000000000000001,0.3999999999999999,0.5180307044428543,0.5025532403933725,0.6375,0.42112201319807535
pct,0.625,0.375,0.5242807044428541,0.507242854187561,0.63125,0.417161164899131
pct,0.6500000000000001,0.34999999999999987,0.5524057044428542,0.5152193783956817,0.5874999999999999,0.49228421668788036
pct,0.675,0.32499999999999996,0.5604211603185194,0.507705373099657,0.58125,0.4895390050853966
pct,0.7000000000000001,0.29999999999999993,0.6390532780065457,0.4290367474658858,0.5,0.5777110004145671
pct,0.7250000000000001,0.2749999999999999,0.6645603956945718,0.4285249155898543,0.47812499999999997,0.5660909682860167
pct,0.75,0.25,0.6801853956945718,0.43134609108097444,0.46249999999999997,0.5988269783501742
pct,0.7750000000000001,0.22499999999999987,0.7261267869079971,0.3821522313570331,0.4125,0.6213644260818284
pct,0.8,0.19999999999999996,0.758396335205221,0.37306447701496337,0.37499999999999994,0.625
pct,0.8250000000000002,0.17499999999999982,0.7680148822560193,0.3665564989862578,0.365625,0.6253046132686053
pct,0.8500000000000001,0.1499999999999999,0.7983312734694447,0.29363209868746004,0.334375,0.6111512573618744
pct,0.875,0.125,0.8358312734694446,0.19023331429955678,0.29062499999999997,0.6448640239422571
pct,0.9,0.09999999999999998,0.8889562734694446,0.16162263281565942,0.22499999999999998,0.65
