rule_name,J_final,F_final,Balance_final,rule_accuracy,avg_judge_injustice,extreme_event_rate,n_weeks_evaluated,n_seasons,Balance_process,Balance_comprehensive,params
Static Pct 50-50,0.4543704190533266,0.7062499999999999,0.5529785671730085,0.8503401360544217,0.22307030884837004,0.05782312925170068,294,32,0.48201695086634216,0.524593920650342,{'judge_weight': 0.5}
Static Rank 50-50,0.6647511158284071,0.7043300834889249,0.68396850209068,0.8673469387755102,0.22307030884837004,0.05782312925170068,294,32,0.6016772063632977,0.6510519837997271,{'judge_weight': 0.5}
"Dynamic Log (b=0.4, δ=0.02, α=0.2)",0.5766947034834067,0.5874999999999999,0.5820472073815903,0.8469387755102041,0.22307030884837004,0.05782312925170068,294,32,0.5064226856256213,0.5517973986792027,"{'base': 0.4, 'delta': 0.02, 'log_strength': 0.2}"
"Dynamic Log (b=0.4, δ=0.025, α=0.15)",0.625557558951978,0.54375,0.5817920525445117,0.8469387755102041,0.22307030884837004,0.05782312925170068,294,32,0.5062006826743056,0.5515555045964293,"{'base': 0.4, 'delta': 0.025, 'log_strength': 0.15}"
"Dynamic Log (b=0.35, δ=0.03, α=0.2)",0.625557558951978,0.54375,0.5817920525445117,0.8537414965986394,0.22307030884837004,0.05782312925170068,294,32,0.508065141910675,0.552301288290977,"{'base': 0.35, 'delta': 0.03, 'log_strength': 0.2}"
Dynamic Rank Hybrid,0.9527933247726216,0.18091192154131586,0.30408551362843267,0.8061224489795918,0.22307030884837004,0.05782312925170068,294,32,0.2587291518757536,0.28594296892736104,"{'base': 0.4, 'delta': 0.03, 'late_boost': 0.1}"
Dynamic Rank Hybrid v2,0.9527933247726216,0.18091192154131586,0.30408551362843267,0.7993197278911565,0.22307030884837004,0.05782312925170068,294,32,0.2577546541285756,0.2855531698284899,"{'base': 0.35, 'delta': 0.035, 'late_boost': 0.15}"
Adaptive Dynamic,0.9480738216002382,0.1901178823119738,0.31672307302917757,0.7653061224489796,0.22307030884837004,0.05782312925170068,294,32,0.2633917531346526,0.2953905450713676,"{'base': 0.4, 'delta': 0.025}"
Adaptive Dynamic v2,0.9434274685361597,0.2,0.3300349147353854,0.7891156462585034,0.22307030884837004,0.05782312925170068,294,32,0.27816388511022677,0.30928650288532195,"{'base': 0.35, 'delta': 0.03}"
Dynamic with Protection,0.8567354107721418,0.3621619215413159,0.5091108728152989,0.8333333333333334,0.22307030884837004,0.05782312925170068,294,32,0.4396997815952993,0.48134643632729907,"{'base': 0.4, 'delta': 0.02, 'protection_threshold': 0.25}"
Dynamic with Protection v2,0.8405979801629442,0.3809119215413159,0.5242590193640668,0.8333333333333334,0.22307030884837004,0.05782312925170068,294,32,0.45278266213217455,0.4956684764713099,"{'base': 0.35, 'delta': 0.025, 'protection_threshold': 0.3}"
