rule_type,params,judge_weight,J,F,base_weight,delta,log_strength,Balance
Static Pct,w=30%,0.3,0.07812499999999997,0.24375000000000002,,,,0.11832487510718412
Static Pct,w=35%,0.35,0.11562499999999998,0.24375000000000002,,,,0.1568473896420462
Static Pct,w=40%,0.4,0.15312499999999998,0.20625,,,,0.17576038049285428
Static Pct,w=45%,0.45,0.159375,0.19374999999999998,,,,0.17488888527041338
Static Pct,w=50%,0.5,0.21874999999999997,0.13437499999999997,,,,0.16648182943198744
Static Pct,w=55%,0.55,0.24375,0.09687499999999999,,,,0.1386463819555759
Static Pct,w=60%,0.6000000000000001,0.30625,0.05000000000000002,,,,0.08596467097636219
Static Pct,w=65%,0.65,0.390625,-0.025000000000000022,,,,-0.05341865731649286
Static Pct,w=70%,0.7,0.453125,-0.08437499999999999,,,,-0.2073617257987097
Static Pct,w=75%,0.75,0.46249999999999997,-0.1125,,,,-0.2973205790840598
Static Pct,w=80%,0.8,0.478125,-0.159375,,,,-0.4781235000047059
Static Rank,w=30%,0.3,0.04375,-0.271875,,,,0.1042812790412232
Static Rank,w=35%,0.35,-0.03125,-0.25625,,,,-0.05570671550161913
Static Rank,w=40%,0.4,-0.08126424376894102,-0.2323253941398889,,,,-0.12041091532524319
Static Rank,w=45%,0.45,-0.115625,-0.20937499999999998,,,,-0.14897882378099625
Static Rank,w=50%,0.5,-0.23897035389617224,-0.11516585079464675,,,,-0.15542777875008593
Static Rank,w=55%,0.55,-0.334375,0.028124999999999997,,,,0.06141601686862651
Static Rank,w=60%,0.6000000000000001,-0.428125,0.12187500000000001,,,,0.3407536636854325
Static Rank,w=65%,0.65,-0.428125,0.12187500000000001,,,,0.3407536636854325
Static Rank,w=70%,0.7,-0.46249999999999997,0.14999999999999997,,,,0.4440014208045464
Static Rank,w=75%,0.75,-0.47669039229342064,0.17221307845868408,,,,0.539236165169063
Static Rank,w=80%,0.8,-0.475,0.18437499999999998,,,,0.6026902458158995
Dynamic (no log),"b=40%,δ=0.02",,0.284375,0.078125,0.4,0.02,0.0,0.12257509289629547
Dynamic (no log),"b=40%,δ=0.03",,0.4125,-0.021875000000000006,0.4,0.03,0.0,-0.04619988172830279
Dynamic (no log),"b=40%,δ=0.04",,0.44375,-0.12499999999999999,0.4,0.04,0.0,-0.3480381238019645
Dynamic (no log),"b=40%,δ=0.05",,0.478125,-0.159375,0.4,0.05,0.0,-0.4781235000047059
Dynamic (no log),"b=45%,δ=0.02",,0.340625,0.018750000000000017,0.45,0.02,0.0,0.035543379357553126
Dynamic (no log),"b=45%,δ=0.03",,0.440625,-0.07812499999999999,0.45,0.03,0.0,-0.18992404503711713
Dynamic (no log),"b=45%,δ=0.04",,0.478125,-0.159375,0.45,0.04,0.0,-0.4781235000047059
Dynamic (no log),"b=45%,δ=0.05",,0.478125,-0.159375,0.45,0.05,0.0,-0.4781235000047059
Dynamic (no log),"b=50%,δ=0.02",,0.453125,-0.08437499999999999,0.5,0.02,0.0,-0.2073617257987097
Dynamic (no log),"b=50%,δ=0.03",,0.446875,-0.128125,0.5,0.03,0.0,-0.3592513239174151
Dynamic (no log),"b=50%,δ=0.04",,0.478125,-0.159375,0.5,0.04,0.0,-0.4781235000047059
Dynamic (no log),"b=50%,δ=0.05",,0.478125,-0.159375,0.5,0.05,0.0,-0.4781235000047059
Dynamic (no log),"b=55%,δ=0.02",,0.440625,-0.07812499999999999,0.55,0.02,0.0,-0.18992404503711713
Dynamic (no log),"b=55%,δ=0.03",,0.478125,-0.159375,0.55,0.03,0.0,-0.4781235000047059
Dynamic (no log),"b=55%,δ=0.04",,0.478125,-0.159375,0.55,0.04,0.0,-0.4781235000047059
Dynamic (no log),"b=55%,δ=0.05",,0.478125,-0.159375,0.55,0.05,0.0,-0.4781235000047059
Dynamic+Log,"b=40%,δ=0.02,α=0.3",,0.359375,0.0,0.4,0.02,0.3,0.0
Dynamic+Log,"b=40%,δ=0.02,α=0.5",,0.446875,-0.07187499999999998,0.4,0.02,0.5,-0.1713016265289959
