method,judge_weight,J,F,weighted
rank,0.3,-0.03332669965524729,0.9668363229103417,True
rank,0.325,-0.03332669965524729,0.9668363229103417,True
rank,0.35,0.08870339710752248,0.9099071905780192,True
rank,0.375,0.1181587798022732,0.8939392879493357,True
rank,0.4,0.20634143051150347,0.8513471021341501,True
rank,0.42500000000000004,0.2609769749872516,0.8031618305910672,True
rank,0.45,0.3482938599039749,0.7360079577189605,True
rank,0.47500000000000003,0.37774924259872555,0.7120561037759353,True
rank,0.5,0.5765028968153839,0.6222997138524254,True
rank,0.525,0.6743668167752578,0.4245161383451419,True
rank,0.55,0.7777016575044995,0.305550168459085,True
rank,0.5750000000000001,0.8274425705303187,0.24288581828935218,True
rank,0.6000000000000001,0.869035627735929,0.18587345042135384,True
rank,0.625,0.869035627735929,0.18587345042135384,True
rank,0.6500000000000001,0.869035627735929,0.18587345042135384,True
rank,0.675,0.9111093052078821,0.10327176817490842,True
rank,0.7000000000000001,0.9111093052078821,0.10327176817490842,True
rank,0.7250000000000001,0.9111093052078821,0.10327176817490842,True
rank,0.75,0.9378621304756328,0.04237786636221226,True
rank,0.7750000000000001,0.9430534621209277,0.01470682114929344,True
rank,0.8,0.9430534621209277,0.01470682114929344,True
rank,0.8250000000000002,0.9430534621209277,0.01470682114929344,True
rank,0.8500000000000001,0.9430534621209277,0.01470682114929344,True
rank,0.875,0.9430534621209277,0.01470682114929344,True
rank,0.9,0.9430534621209277,0.01470682114929344,True
