week,P_w,n_eliminated,n_contestants,season
1,1.0,0,6,1
2,1.0,1,6,1
3,0.7675,1,5,1
4,1.0,1,4,1
5,0.5645,1,3,1
6,1.0,2,2,1
1,0.8275,1,10,2
2,1.0,1,9,2
3,1.0,1,8,2
4,0.932,1,7,2
5,1.0,1,6,2
6,0.9845,1,5,2
7,1.0,1,4,2
8,1.0,3,3,2
1,1.0,1,11,3
2,0.3795,1,10,3
3,1.0,1,9,3
4,0.998,1,8,3
5,1.0,1,7,3
6,1.0,0,5,3
7,0.6305,1,5,3
8,1.0,1,4,3
9,1.0,1,3,3
10,1.0,2,2,3
1,1.0,0,11,4
2,1.0,1,11,4
3,1.0,1,10,4
4,1.0,1,9,4
5,0.819,1,8,4
6,0.6225,1,7,4
7,1.0,1,6,4
8,0.726,1,5,4
9,0.7555,1,4,4
10,1.0,3,3,4
1,0.806,1,12,5
2,0.6775,1,11,5
3,1.0,1,10,5
4,0.7685,1,9,5
5,1.0,1,8,5
6,1.0,1,7,5
7,0.865,1,6,5
8,0.34,1,5,5
9,0.595,1,4,5
10,1.0,3,3,5
1,1.0,0,12,6
2,0.757,2,12,6
3,1.0,1,10,6
4,0.7725,1,9,6
5,1.0,1,8,6
6,1.0,1,7,6
7,1.0,1,6,6
8,0.583,1,5,6
9,1.0,1,4,6
10,1.0,3,3,6
1,0.711,2,13,7
2,0.6225,1,11,7
3,1.0,0,9,7
4,0.7895,1,9,7
5,1.0,1,8,7
6,0.8325,1,7,7
7,0.676,1,6,7
8,1.0,1,5,7
9,1.0,1,4,7
10,1.0,3,3,7
1,1.0,0,13,8
2,0.905,1,13,8
3,0.733,1,12,8
4,0.823,2,11,8
5,0.6535,1,9,8
6,0.8775,1,8,8
7,0.7195,1,7,8
8,0.991,1,6,8
9,0.695,1,5,8
10,1.0,1,4,8
11,1.0,3,3,8
1,0.929,2,16,9
2,0.931,1,14,9
3,0.982,1,13,9
4,0.9535,1,11,9
5,1.0,1,10,9
6,0.0,2,9,9
7,0.7375,2,7,9
8,1.0,1,5,9
9,0.1805,1,4,9
10,1.0,3,3,9
1,1.0,0,11,10
2,1.0,1,11,10
3,0.959,1,10,10
4,0.713,1,9,10
5,0.9465,1,8,10
6,0.325,1,7,10
7,1.0,1,6,10
8,1.0,1,5,10
9,1.0,1,4,10
10,1.0,3,3,10
1,0.9525,1,12,11
2,0.988,1,11,11
3,0.905,1,10,11
4,1.0,1,9,11
5,0.5625,1,8,11
6,0.7095,1,7,11
7,1.0,1,6,11
8,0.727,1,5,11
9,0.6585,1,4,11
10,1.0,3,3,11
1,1.0,0,11,12
2,0.997,1,11,12
3,1.0,1,10,12
4,1.0,1,9,12
5,0.949,1,8,12
6,0.711,1,7,12
7,0.868,1,6,12
8,1.0,1,5,12
9,1.0,1,4,12
10,1.0,3,3,12
1,1.0,1,12,13
2,1.0,1,11,13
3,0.9995,1,10,13
4,0.8605,1,9,13
5,0.798,1,8,13
6,0.802,1,7,13
7,0.834,1,6,13
8,0.8235,1,5,13
9,0.2055,1,4,13
10,1.0,3,3,13
1,1.0,0,12,14
2,0.8505,1,12,14
3,0.99,1,11,14
4,0.931,1,10,14
5,0.8645,1,9,14
6,0.259,1,8,14
7,0.671,1,7,14
8,0.5895,2,6,14
9,0.0,1,4,14
10,1.0,3,3,14
1,1.0,1,13,15
2,0.778,1,12,15
3,0.552,2,11,15
4,0.7735,1,9,15
5,1.0,0,8,15
6,0.326,1,8,15
7,1.0,0,7,15
8,0.973,2,7,15
9,0.5915,2,5,15
10,1.0,3,3,15
1,1.0,0,12,16
2,1.0,0,12,16
3,1.0,1,11,16
4,0.921,1,10,16
5,0.9135,1,9,16
6,0.986,1,8,16
7,0.6455,1,7,16
8,1.0,1,6,16
9,0.7055,1,5,16
10,1.0,4,4,16
1,1.0,0,12,17
2,0.8635,1,12,17
3,0.999,1,11,17
4,1.0,1,10,17
5,0.0,1,9,17
6,1.0,0,8,17
7,1.0,1,8,17
8,0.769,1,7,17
9,0.2135,1,6,17
10,1.0,1,5,17
11,1.0,4,4,17
1,0.752,1,12,18
2,1.0,1,11,18
3,1.0,0,9,18
4,1.0,0,9,18
5,0.748,1,9,18
6,1.0,1,8,18
7,1.0,1,7,18
8,0.1995,1,6,18
9,1.0,1,5,18
10,1.0,4,4,18
1,0.957,1,13,19
2,1.0,1,12,19
3,0.9975,1,11,19
4,1.0,1,10,19
5,1.0,0,9,19
6,0.7375,1,9,19
7,0.656,1,8,19
8,0.878,1,7,19
9,0.6095,1,6,19
10,1.0,1,5,19
11,1.0,4,4,19
1,1.0,0,12,20
2,0.436,1,12,20
3,1.0,1,11,20
4,1.0,1,10,20
5,1.0,1,9,20
6,0.994,1,8,20
7,1.0,1,7,20
8,0.5995,2,6,20
9,1.0,1,4,20
10,1.0,3,3,20
1,1.0,0,13,21
2,0.6935,2,13,21
3,1.0,0,10,21
4,0.753,1,10,21
5,1.0,0,9,21
6,1.0,1,9,21
7,1.0,1,8,21
8,0.7455,1,7,21
9,1.0,1,6,21
10,1.0,0,4,21
11,1.0,4,4,21
1,1.0,0,12,22
2,1.0,1,12,22
3,0.9605,1,11,22
4,0.699,1,10,22
5,1.0,0,9,22
6,0.8495,1,9,22
